ipc_section,bns_section,status,notes
280,282,suggested,fuzzy title match (98/100): 'Rash navigation of vessel' ~ 'Rash navigation of vessel.' — please verify
281,283,suggested,"fuzzy title match (99/100): 'Exhibition of false light, mark or buoy' ~ 'Exhibition of false light, mark or buoy.' — please verify"
282,284,suggested,fuzzy title match (99/100): 'Conveying person by water for hire in unsafe or overloaded vessel' ~ 'Conveying person by water for hire in unsafe or overloaded vessel.' — please verify
283,285,suggested,fuzzy title match (99/100): 'Danger or obstruction in public way or line of navigation' ~ 'Danger or obstruction in public way or line of navigation.' — please verify
284,286,suggested,fuzzy title match (99/100): 'Negligent conduct with respect to poisonous substance' ~ 'Negligent conduct with respect to poisonous substance.' — please verify
285,287,suggested,fuzzy title match (99/100): 'Negligent conduct with respect to fire or combustible matter' ~ 'Negligent conduct with respect to fire or combustible matter.' — please verify
286,288,suggested,fuzzy title match (99/100): 'Negligent conduct with respect to explosive substance' ~ 'Negligent conduct with respect to explosive substance.' — please verify
287,289,suggested,fuzzy title match (99/100): 'Negligent conduct with respect to machinery' ~ 'Negligent conduct with respect to machinery.' — please verify
288,290,suggested,"fuzzy title match (87/100): 'Negligent conduct with respect to pulling down or repairing buildings' ~ 'Negligent conduct with respect to pulling down, repairing or constructing buildings, etc.' — please verify"
289,291,suggested,fuzzy title match (99/100): 'Negligent conduct with respect to animal' ~ 'Negligent conduct with respect to animal.' — please verify
290,292,suggested,fuzzy title match (99/100): 'Punishment for public nuisance in cases not otherwise provided for' ~ 'Punishment for public nuisance in cases not otherwise provided for.' — please verify
291,293,suggested,fuzzy title match (99/100): 'Continuance of nuisance after injunction to discontinue' ~ 'Continuance of nuisance after injunction to discontinue.' — please verify
292,294,suggested,"fuzzy title match (99/100): 'Sale, etc., of obscene books, etc' ~ 'Sale, etc., of obscene books, etc.' — please verify"
297,301,suggested,"fuzzy title match (99/100): 'Trespassing on burial places, etc' ~ 'Trespassing on burial places, etc.' — please verify"
298,302,suggested,"fuzzy title match (91/100): 'Uttering words, etc., with deliberate intent to wound religious feelings' ~ 'Uttering words, etc., with deliberate intent to wound religious feelings of any person.' — please verify"
308,110,suggested,fuzzy title match (99/100): 'Attempt to commit culpable homicide' ~ 'Attempt to commit culpable homicide.' — please verify
309,110,suggested,fuzzy title match (79/100): 'Attempt to commit suicide' ~ 'Attempt to commit culpable homicide.' — please verify
311,4,suggested,fuzzy title match (91/100): 'Punishment' ~ 'Punishments.' — please verify
312,88,suggested,fuzzy title match (92/100): 'Causing miscarraige' ~ 'Causing miscarriage.' — please verify
313,89,suggested,fuzzy title match (99/100): 'Causing miscarriage without woman's consent' ~ 'Causing miscarriage without woman's consent.' — please verify
